second,track_angle,altitude,groundspeed,on_taxiway
6464.0,158.69766583040501,6446.1875,264.64453125,0.0
6465.0,158.675693330617,6430.1875,264.0,0.0
6466.0,158.653720830829,6414.640625,263.64453125,0.0
6467.0,158.647160194296,6402.640625,262.64453125,0.0
6468.0,158.66556538149598,6390.1875,262.0,0.0
6469.0,158.68753788128402,6374.1875,261.64453125,0.0
6470.0,158.709510381072,6358.1875,261.0,0.0
6471.0,158.700659154351,6341.734375,260.64453125,0.0
6472.0,158.641876280162,6322.640625,260.0,0.0
6473.0,158.575958780799,6310.1875,259.64453125,0.0
6474.0,158.510041281436,6294.1875,259.0,0.0
6475.0,158.186871113563,6278.1875,258.64453125,0.0
6476.0,158.19402292385402,6262.1875,258.0,0.0
6477.0,158.259940423217,6246.1875,257.64453125,0.0
6478.0,158.325857922581,6230.640625,257.0,0.0
6479.0,158.384069490317,6217.734375,256.64453125,0.0
6480.0,158.42979814618602,6198.640625,255.64453125,0.0
6481.0,158.473743145762,6185.734375,254.64453125,0.0
6482.0,158.21419988706498,6165.734375,254.0,0.0
6483.0,158.233198930212,6145.28125,253.64453125,0.0
6484.0,158.33771046027002,6121.734375,252.64453125,0.0
6485.0,158.447572959209,6100.828125,251.64453125,0.0
6486.0,158.253947199875,6072.375,251.0,0.0
6487.0,158.642352000658,6040.375,250.64453125,0.0
6488.0,159.164333039662,6008.828125,250.0,0.0
6489.0,158.78120027273002,5981.28125,250.0,0.0
6490.0,157.950387993595,5957.734375,250.0,0.0
6491.0,158.192993816712,5938.1875,249.64453125,0.0
6492.0,158.174571444397,5922.640625,249.0,0.0
6493.0,158.390169703518,5911.09375,248.64453125,0.0
6494.0,159.260808230494,5902.1875,247.64453125,0.0
6495.0,159.793085164155,5886.1875,246.64453125,0.0
6496.0,159.458112328226,5870.640625,246.0,0.0
6497.0,158.996689832682,5857.734375,245.64453125,0.0
6498.0,158.535267337138,5838.1875,244.64453125,0.0
6499.0,158.328140585293,5822.640625,244.0,0.0
6500.0,158.229461666779,5810.640625,243.64453125,0.0
6501.0,157.838091396377,5798.640625,243.0,0.0
6502.0,158.005633891211,5787.546875,242.64453125,0.0
6503.0,158.138303051002,5781.734375,241.64453125,0.0
6504.0,158.05876270905702,5762.1875,241.0,0.0
6505.0,157.948900210118,5745.734375,240.64453125,0.0
6506.0,158.142525969452,5726.640625,240.0,0.0
6507.0,158.204022127859,5713.28125,239.64453125,0.0
6508.0,158.113692866551,5690.1875,239.0,0.0
6509.0,158.00383835463498,5674.640625,238.64453125,0.0
6510.0,157.893983842718,5661.734375,238.0,0.0
6511.0,157.910381161647,5642.640625,237.64453125,0.0
6512.0,158.294711775496,5631.09375,236.64453125,0.0
6513.0,158.43065753893498,5622.1875,235.64453125,0.0
6514.0,158.215051292791,5606.640625,234.64453125,0.0
6515.0,158.066970269746,5594.640625,233.64453125,0.0
6516.0,158.106132924702,5583.09375,233.0,0.0
6517.0,158.17205042406601,5575.09375,232.64453125,0.0
6518.0,158.23796792342898,5566.640625,231.64453125,0.0
6519.0,158.507196569911,5554.1875,230.64453125,0.0
6520.0,159.26918762998002,5539.09375,229.64453125,0.0
6521.0,160.71109517739401,5530.640625,228.64453125,0.0
6522.0,161.945641969156,5518.640625,227.2890625,0.0
6523.0,163.638924414998,5505.28125,225.64453125,0.0
6524.0,165.569544767466,5481.28125,224.64453125,0.0
6525.0,167.221553081152,5457.734375,223.64453125,0.0
6526.0,169.1289859018,5436.828125,222.64453125,0.0
6527.0,170.888877258267,5409.734375,221.2890625,0.0
6528.0,173.078953887831,5389.28125,219.64453125,0.0
6529.0,175.645553715091,5365.28125,218.2890625,0.0
6530.0,177.95672903538798,5341.734375,216.64453125,0.0
6531.0,180.492505136139,5321.28125,215.2890625,0.0
6532.0,183.329901599005,5297.734375,213.2890625,0.0
6533.0,185.29776241318902,5277.28125,211.64453125,0.0
6534.0,187.42492023171502,5253.734375,210.2890625,0.0
6535.0,189.466184039078,5233.734375,208.2890625,0.0
6536.0,192.037496414472,5213.28125,206.2890625,0.0
6537.0,194.39262472136798,5189.734375,204.64453125,0.0
6538.0,196.69968927695302,5169.28125,203.2890625,0.0
6539.0,199.14841752663799,5145.28125,201.64453125,0.0
6540.0,201.686556636705,5121.28125,200.64453125,0.0
6541.0,204.235302715912,5097.28125,199.2890625,0.0
6542.0,205.87358402030102,5073.734375,197.64453125,0.0
6543.0,207.863810619714,5053.28125,196.2890625,0.0
6544.0,210.214173767105,5029.28125,194.64453125,0.0
6545.0,212.609128321841,5005.28125,193.2890625,0.0
6546.0,215.004082876578,4981.734375,191.64453125,0.0
6547.0,217.368213704805,4961.734375,190.2890625,0.0
6548.0,219.68241288556598,4941.734375,188.64453125,0.0
6549.0,221.68598918287898,4921.28125,187.64453125,0.0
6550.0,223.641501728882,4897.734375,186.64453125,0.0
6551.0,225.604720206511,4877.28125,185.2890625,0.0
6552.0,227.580421596009,4853.28125,183.64453125,0.0
6553.0,229.557906641799,4829.28125,182.64453125,0.0
6554.0,231.838879945863,4805.28125,181.64453125,0.0
6555.0,233.86442874296299,4782.1875,180.2890625,0.0
6556.0,236.14540204702598,4766.640625,178.2890625,0.0
6557.0,238.17095084412702,4754.640625,176.2890625,0.0
6558.0,239.844947631645,4743.09375,173.93359375,0.0
6559.0,241.82831044751597,4735.546875,170.93359375,0.0
6560.0,243.947117397765,4731.546875,168.2890625,0.0
6561.0,246.38189820034302,4728.453125,165.93359375,0.0
6562.0,247.65078972114102,4731.546875,162.93359375,0.0
6563.0,249.28816716347998,4727.546875,160.2890625,0.0
6564.0,251.553751153784,4723.546875,158.2890625,0.0
6565.0,252.994295934128,4719.546875,156.2890625,0.0
6566.0,253.38018468572497,4715.546875,154.2890625,0.0
6567.0,253.31068799349097,4711.546875,152.64453125,0.0
6568.0,254.091109412897,4707.09375,151.2890625,0.0
6569.0,254.71045017166801,4698.640625,149.64453125,0.0
6570.0,254.674750662584,4687.09375,148.64453125,0.0
6571.0,254.496688061116,4678.640625,147.64453125,0.0
6572.0,254.243727988448,4667.09375,146.64453125,0.0
6573.0,254.58704249456102,4658.1875,146.0,0.0
6574.0,254.72299624502202,4642.640625,146.0,0.0
6575.0,254.453456464511,4631.09375,145.64453125,0.0
6576.0,254.048472549621,4622.640625,145.0,0.0
6577.0,253.934491298948,4610.1875,144.64453125,0.0
6578.0,253.565085541312,4595.09375,144.0,0.0
6579.0,253.55898733342002,4586.1875,143.64453125,0.0
6580.0,253.168737126427,4570.640625,143.0,0.0
6581.0,252.70733060492802,4558.640625,142.64453125,0.0
6582.0,252.54941234170101,4546.640625,142.0,0.0
6583.0,252.558103729003,4535.09375,141.64453125,0.0
6584.0,252.315268982813,4526.640625,141.0,0.0
6585.0,252.029626485572,4515.09375,140.64453125,0.0
6586.0,252.047472246603,4507.09375,140.0,0.0
6587.0,251.56034676378997,4499.09375,139.64453125,0.0
6588.0,251.064474161424,4490.640625,139.0,0.0
6589.0,251.18806366965902,4479.09375,139.0,0.0
6590.0,250.80080416397004,4471.09375,138.64453125,0.0
6591.0,250.409888335188,4462.640625,138.0,0.0
6592.0,250.472255707078,4451.546875,137.64453125,0.0
6593.0,250.300602447533,4447.09375,137.0,0.0
6594.0,250.08088543667702,4439.09375,137.0,0.0
6595.0,250.08759736782199,4430.640625,136.64453125,0.0
6596.0,249.714055673336,4419.09375,136.0,0.0
6597.0,249.578101922875,4411.09375,136.0,0.0
6598.0,249.793700181996,4403.546875,135.64453125,0.0
6599.0,249.784697660664,4399.546875,135.0,0.0
6600.0,249.474074777216,4394.640625,135.0,0.0
6601.0,249.42601102590598,4383.546875,135.0,0.0
6602.0,249.42601102590598,4378.640625,135.0,0.0
6603.0,249.42601102590598,4366.640625,135.0,0.0
6604.0,249.12252276763402,4354.1875,135.35546875,0.0
6605.0,249.074459016323,4338.1875,136.0,0.0
6606.0,249.074459016323,4322.640625,136.0,0.0
6607.0,248.974281905169,4310.1875,136.0,0.0
6608.0,249.01531519802003,4294.1875,136.0,0.0
6609.0,249.08122471036097,4278.640625,136.0,0.0
6610.0,248.84364596442902,4266.640625,135.64453125,0.0
6611.0,248.38551604657903,4254.640625,135.0,0.0
6612.0,248.395020137425,4243.09375,135.0,0.0
6613.0,248.482910136576,4233.734375,135.0,0.0
6614.0,248.570800135727,4214.1875,134.64453125,0.0
6615.0,248.33208408172501,4198.640625,134.0,0.0
6616.0,248.31134379908403,4186.640625,133.64453125,0.0
6617.0,248.333316298871,4174.1875,133.0,0.0
6618.0,248.658777056932,4159.09375,132.64453125,0.0
6619.0,248.697989581521,4150.640625,132.0,0.0
6620.0,248.639206707332,4139.09375,131.64453125,0.0
6621.0,248.57328920796903,4130.1875,131.0,0.0
6622.0,248.507371708606,4114.1875,131.0,0.0
6623.0,248.184201540733,4099.09375,130.64453125,0.0
6624.0,248.19135335102402,4090.1875,130.0,0.0
6625.0,248.257270850387,4074.640625,130.0,0.0
6626.0,248.32318834974998,4062.640625,130.0,0.0
6627.0,248.404517712368,4050.1875,130.0,0.0
6628.0,248.51081289872002,4034.640625,130.0,0.0
6629.0,248.620675397659,4022.640625,129.64453125,0.0
6630.0,248.730537896598,4010.1875,129.0,0.0
